COD_DPTO,NOMBRE DPTO,COD_MPIO,NOMBRE MPIO,SEXOS,ANO,Población
5,Antioquia,05541,Peñol,AMBOS SEXOS,2018,"21,049"
5,Antioquia,05541,Peñol,HOMBRES,2018,"10,280"
5,Antioquia,05541,Peñol,MUJERES,2018,"10,769"
5,Antioquia,05543,Peque,AMBOS SEXOS,2018,"8,097"
5,Antioquia,05543,Peque,HOMBRES,2018,"4,263"
5,Antioquia,05543,Peque,MUJERES,2018,"3,834"
5,Antioquia,05576,Pueblorrico,AMBOS SEXOS,2018,"8,664"
5,Antioquia,05576,Pueblorrico,HOMBRES,2018,"4,319"
5,Antioquia,05576,Pueblorrico,MUJERES,2018,"4,345"
5,Antioquia,05579,Puerto Berrío,AMBOS SEXOS,2018,"39,314"
5,Antioquia,05579,Puerto Berrío,HOMBRES,2018,"19,733"
5,Antioquia,05579,Puerto Berrío,MUJERES,2018,"19,581"
5,Antioquia,05585,Puerto Nare,AMBOS SEXOS,2018,"14,380"
5,Antioquia,05585,Puerto Nare,HOMBRES,2018,"7,215"
5,Antioquia,05585,Puerto Nare,MUJERES,2018,"7,165"
5,Antioquia,05591,Puerto Triunfo,AMBOS SEXOS,2018,"18,055"
5,Antioquia,05591,Puerto Triunfo,HOMBRES,2018,"9,873"
5,Antioquia,05591,Puerto Triunfo,MUJERES,2018,"8,182"
5,Antioquia,05604,Remedios,AMBOS SEXOS,2018,"28,415"
5,Antioquia,05604,Remedios,HOMBRES,2018,"14,215"
5,Antioquia,05604,Remedios,MUJERES,2018,"14,200"
5,Antioquia,05607,Retiro,AMBOS SEXOS,2018,"23,514"
5,Antioquia,05607,Retiro,HOMBRES,2018,"11,515"
5,Antioquia,05607,Retiro,MUJERES,2018,"11,999"
5,Antioquia,05615,Rionegro,AMBOS SEXOS,2018,"135,465"
5,Antioquia,05615,Rionegro,HOMBRES,2018,"66,348"
5,Antioquia,05615,Rionegro,MUJERES,2018,"69,117"
5,Antioquia,05628,Sabanalarga,AMBOS SEXOS,2018,"9,032"
5,Antioquia,05628,Sabanalarga,HOMBRES,2018,"4,716"
5,Antioquia,05628,Sabanalarga,MUJERES,2018,"4,316"
5,Antioquia,05631,Sabaneta,AMBOS SEXOS,2018,"82,375"
5,Antioquia,05631,Sabaneta,HOMBRES,2018,"38,305"
5,Antioquia,05631,Sabaneta,MUJERES,2018,"44,070"
5,Antioquia,05642,Salgar,AMBOS SEXOS,2018,"18,258"
5,Antioquia,05642,Salgar,HOMBRES,2018,"9,191"
5,Antioquia,05642,Salgar,MUJERES,2018,"9,067"
5,Antioquia,05647,San Andrés de Cuerquía,AMBOS SEXOS,2018,"7,235"
5,Antioquia,05647,San Andrés de Cuerquía,HOMBRES,2018,"3,706"
5,Antioquia,05647,San Andrés de Cuerquía,MUJERES,2018,"3,529"
5,Antioquia,05649,San Carlos,AMBOS SEXOS,2018,"16,247"
5,Antioquia,05649,San Carlos,HOMBRES,2018,"8,239"
5,Antioquia,05649,San Carlos,MUJERES,2018,"8,008"
5,Antioquia,05652,San Francisco,AMBOS SEXOS,2018,"5,648"
5,Antioquia,05652,San Francisco,HOMBRES,2018,"2,824"
5,Antioquia,05652,San Francisco,MUJERES,2018,"2,824"
5,Antioquia,05656,San Jerónimo,AMBOS SEXOS,2018,"15,361"
5,Antioquia,05656,San Jerónimo,HOMBRES,2018,"7,571"
5,Antioquia,05656,San Jerónimo,MUJERES,2018,"7,790"
5,Antioquia,05658,San José de La Montaña,AMBOS SEXOS,2018,"3,646"
5,Antioquia,05658,San José de La Montaña,HOMBRES,2018,"1,780"
5,Antioquia,05658,San José de La Montaña,MUJERES,2018,"1,866"
5,Antioquia,05659,San Juan de Urabá,AMBOS SEXOS,2018,"20,093"
5,Antioquia,05659,San Juan de Urabá,HOMBRES,2018,"9,892"
5,Antioquia,05659,San Juan de Urabá,MUJERES,2018,"10,201"
5,Antioquia,05660,San Luis,AMBOS SEXOS,2018,"12,995"
5,Antioquia,05660,San Luis,HOMBRES,2018,"6,422"
5,Antioquia,05660,San Luis,MUJERES,2018,"6,573"
5,Antioquia,05664,San Pedro,AMBOS SEXOS,2018,"21,949"
5,Antioquia,05664,San Pedro,HOMBRES,2018,"10,607"
5,Antioquia,05664,San Pedro,MUJERES,2018,"11,342"
5,Antioquia,05665,San Pedro de Uraba,AMBOS SEXOS,2018,"30,932"
5,Antioquia,05665,San Pedro de Uraba,HOMBRES,2018,"15,816"
5,Antioquia,05665,San Pedro de Uraba,MUJERES,2018,"15,116"
5,Antioquia,05667,San Rafael,AMBOS SEXOS,2018,"15,698"
5,Antioquia,05667,San Rafael,HOMBRES,2018,"7,832"
5,Antioquia,05667,San Rafael,MUJERES,2018,"7,866"
